trip,p,d,q,p_s,d_s,q_s,s,error
7-237,0,0,0,1,0,0,12,39.99498903014866
7-55,1,0,1,0,1,0,12,17.28228151768022
7-7,0,0,1,0,1,0,12,46.5786678525854
7-56,0,0,0,1,1,0,12,9.759250567525273
7-156,1,0,1,1,1,0,12,17.337683026955208
7-129,1,1,1,1,0,0,12,32.403886241415144
7-193,0,1,0,0,0,0,12,26.265983863798684
7-245,0,1,1,1,1,0,12,22.65415200598794
7-182,0,0,0,1,0,0,12,30.206067649554974
7-10,0,1,0,1,1,0,12,12.646049277326329
7-146,0,0,0,0,1,0,12,39.67915699709361
7-8,1,0,0,1,0,0,12,8.468663672999707
7-183,1,0,1,1,0,0,12,34.78702981156766
7-119,1,1,1,0,1,0,12,15.142245229849104
7-46,1,0,1,0,1,0,12,14.709768762546226
7-201,0,1,0,1,0,0,12,24.516687269020142
7-166,1,0,1,1,0,0,12,13.5680827467073
7-246,1,1,1,1,1,0,12,20.534258063529265
7-64,0,0,0,0,1,0,12,30.27656120389721
7-210,0,1,1,1,1,0,12,13.705179198533141
7-137,0,1,1,1,1,0,12,21.701248222114398
7-228,0,1,1,1,1,0,12,16.09892040092753
7-111,0,0,0,1,1,0,12,28.81381606600306
7-227,0,1,1,0,0,0,12,35.18267105264283
7-36,0,1,1,1,1,0,12,18.289307924995466
7-191,0,0,0,0,1,0,12,38.72678745605768
7-229,0,1,1,1,1,0,12,30.805466304394688
7-139,0,0,0,1,0,0,12,9.808782520262929
7-165,0,1,1,0,0,0,12,17.372087800907224
7-157,1,0,1,1,0,0,12,18.87845077806593
7-47,1,0,0,1,0,0,12,18.18681642738805
7-155,1,1,1,1,1,0,12,18.404212770211036
7-209,0,1,1,1,1,0,12,18.626939751613374
7-200,1,1,0,1,1,0,12,29.58361623492879
7-54,0,0,1,1,0,0,12,15.08790308435573
7-128,0,0,1,1,0,0,12,30.597881943944387
7-65,1,1,1,1,1,0,12,18.05568354012196
7-175,1,0,0,1,0,0,12,18.609376106908538
7-147,0,0,0,0,1,0,12,32.6051092622
7-9,1,0,0,1,1,0,12,34.08148444737785
7-148,0,1,1,1,1,0,12,28.444231598243608
7-173,0,0,0,1,0,0,12,38.76191003505085
7-174,0,0,0,1,1,0,12,31.230133405097632
7-192,0,1,1,1,1,0,12,31.138993929984373
7-219,0,1,1,0,0,0,12,8.053395024259855
7-184,1,1,1,0,0,0,12,33.37538845957005
7-120,0,1,0,1,0,0,12,31.64708773781456
7-238,0,1,1,0,1,0,12,17.510405351951412
7-45,0,0,1,1,0,0,12,7.578179915523119
7-138,0,0,0,0,1,0,12,11.240077105310862
7-164,0,1,1,0,0,0,12,18.88559754745506
7-218,0,0,0,0,1,0,12,34.4044524734808
7-167,0,0,0,0,1,0,12,34.966256114526594
7-249,0,0,1,1,0,0,12,12.306860173367937
7-67,0,1,1,1,1,0,12,16.8847947995285
7-185,0,1,1,1,1,0,12,26.4865256027774
7-121,1,1,1,1,1,0,12,37.28282302470695
7-122,1,0,1,0,1,0,12,10.053280199752498
7-211,1,0,1,0,1,0,12,16.276618208735112
7-212,0,0,0,1,0,0,12,18.431414898325407
7-177,1,1,1,0,1,0,12,23.708994552564345
7-58,1,1,1,1,0,0,12,22.186772124100028
7-49,0,1,1,0,1,0,12,24.856074864311147
7-248,0,0,1,1,1,0,12,20.631941000162893
7-186,1,1,1,1,1,0,12,8.029776244396254
7-1,0,1,1,1,1,0,12,32.74926489490256
7-57,0,1,1,1,1,0,12,17.889605995022034
7-131,1,1,1,1,0,0,12,21.931156750880074
7-168,0,0,0,1,0,0,12,7.76129890751414
7-239,0,0,0,1,0,0,12,39.59163555944667
7-130,1,0,0,1,0,0,12,23.801949308036168
7-48,1,1,0,1,1,0,12,30.156527637516742
7-221,0,0,1,1,0,0,12,10.814132987535006
7-176,1,0,1,0,1,0,12,23.66630421782983
7-11,1,1,1,0,0,0,12,38.6325837208494
7-202,0,1,1,0,1,0,12,30.386541995187866
7-158,0,0,1,1,0,0,12,19.220577733353547
7-195,1,1,1,1,0,0,12,21.79473314825554
7-230,0,0,1,1,1,0,12,21.426933567605627
7-220,0,1,1,1,0,0,12,32.695216042729975
7-194,1,0,1,0,1,0,12,23.346283688227807
7-159,0,1,0,0,0,0,12,36.209621074147336
7-140,1,1,1,1,1,0,12,12.889848117015068
7-149,0,1,0,0,0,0,12,27.609034451304748
7-113,0,0,1,0,1,0,12,21.46567555310348
7-66,0,0,0,1,0,0,12,13.030034596626761
7-203,0,1,1,1,1,0,12,13.080311185657349
7-112,0,0,1,1,0,0,12,19.57343347559682
7-240,0,1,1,1,1,0,12,18.02155809007775
7-114,1,1,1,1,1,0,12,27.580567085939506
7-214,0,0,0,0,1,0,12,29.51812296426271
7-187,1,0,1,1,0,0,12,20.479291660069915
7-31,1,1,1,0,0,0,12,14.113203967373641
7-205,1,1,1,1,1,0,12,25.414017261532678
7-132,0,1,1,1,1,0,12,27.744555243068127
7-196,1,0,0,1,1,0,12,14.40661829043742
7-213,0,0,0,1,1,0,12,29.19338848065212
7-50,0,1,1,1,1,0,12,37.08833955891044
7-3,0,0,1,1,1,0,12,57.317778063916585
7-2,1,1,1,0,0,0,12,43.630412596804405
7-142,0,1,1,1,0,0,12,25.084320131280315
7-179,0,1,1,1,1,0,12,25.32002705673829
7-105,0,0,0,1,1,0,12,5.97648831680991
7-197,0,1,0,1,0,0,12,17.672642553027533
7-232,0,1,1,1,1,0,12,42.429578021398974
7-222,0,0,0,1,1,0,12,10.505467888446763
7-41,0,1,0,1,0,0,12,23.550118256235123
7-124,1,0,1,1,1,0,12,26.41912234621256
7-115,0,0,1,1,0,0,12,21.874821383253003
7-223,0,0,1,1,0,0,12,5.321781653718548
7-59,0,1,1,1,1,0,12,37.54252172844204
7-204,0,1,1,1,1,0,12,27.383542496584035
7-150,0,1,1,1,1,0,12,13.13487220538154
7-123,0,1,1,1,0,0,12,7.756964393802014
7-178,0,1,0,1,1,0,12,19.9804022807524
7-151,0,1,1,0,0,0,12,6.557641886234801
7-160,1,1,1,1,0,0,12,24.54773906780206
7-141,1,0,1,0,1,0,12,37.18409674317264
7-188,0,0,0,1,1,0,12,23.07029882231346
7-133,1,1,1,0,0,0,12,28.159208781064567
7-241,1,0,1,1,1,0,12,24.460424380466357
7-32,1,0,1,1,0,0,12,22.994680398609287
7-169,0,1,1,0,1,0,12,31.29306650645996
7-199,0,1,1,1,1,0,12,26.22099875638112
7-108,1,0,0,0,1,0,12,28.92971532140525
7-224,0,1,1,0,1,0,12,16.624396589254786
7-4,0,0,1,1,0,0,12,44.80244298368988
7-171,0,0,0,1,0,0,12,32.216299496817285
7-225,1,1,0,1,0,0,12,25.027581397419176
7-243,0,1,1,1,1,0,12,15.549814090643546
7-251,0,1,0,0,1,0,12,17.07562004730751
7-33,0,0,1,1,0,0,12,26.8979991461797
7-152,1,1,1,0,0,0,12,11.996598116433125
7-170,1,1,1,1,0,0,12,27.323859251190637
7-198,1,0,1,1,0,0,12,19.03255871217385
7-61,0,1,1,1,1,0,12,14.620840573900505
7-5,0,1,0,1,1,0,12,23.905411177687803
7-51,1,1,1,1,1,0,12,32.240501154822915
7-252,0,0,1,1,0,0,12,20.678707019925636
7-189,1,0,0,0,1,0,12,37.244982618581844
7-143,0,1,1,1,1,0,12,30.715672971803002
7-116,1,1,1,0,0,0,12,27.13004123355641
7-161,1,0,0,0,1,0,12,26.856165392818873
7-134,0,0,0,0,1,0,12,38.23330343648935
7-43,0,0,0,0,1,0,12,33.3733263001058
7-233,0,1,1,1,1,0,12,14.956504270701307
7-42,0,1,1,1,1,0,12,31.596042295693987
7-135,0,1,0,1,0,0,12,21.185304050128813
7-215,0,0,0,1,1,0,12,33.4211074318071
7-162,1,0,1,1,1,0,12,13.185853265994549
7-153,1,0,1,1,0,0,12,15.095076936004272
7-126,1,0,1,0,1,0,12,22.148954673031408
7-180,0,0,0,1,0,0,12,32.42320228630946
7-144,0,1,1,1,1,0,12,22.706841264763824
7-125,1,0,1,1,0,0,12,15.449377438529067
7-206,0,0,0,1,1,0,12,28.523121457892803
7-52,1,1,1,0,0,0,12,22.60187299758721
7-216,1,1,1,1,1,0,12,32.52661707220874
7-60,0,1,1,1,1,0,12,15.003989405678094
7-117,1,1,1,0,0,0,12,37.26187868984843
7-62,1,1,0,1,0,0,12,24.431988821498216
7-127,0,1,1,0,0,0,12,14.242178387033283
7-44,0,0,1,1,1,0,12,19.660371369466123
7-172,1,0,1,0,1,0,12,29.984902878349747
7-53,0,0,0,0,1,0,12,31.010770978269246
7-235,0,0,1,1,0,0,12,15.822797934229431
7-181,0,1,0,0,0,0,12,28.53412197118856
7-190,0,1,1,1,1,0,12,14.601922580246828
7-6,0,0,0,1,0,0,12,44.81275095966795
7-226,0,0,1,1,1,0,12,35.059808537803775
7-136,1,0,1,0,1,0,12,29.246040564930336
7-35,1,0,0,1,0,0,12,15.4406995840642
7-118,0,1,0,1,0,0,12,27.27777751954962
7-217,0,0,0,1,1,0,12,30.938618230628467
7-163,0,1,1,1,1,0,12,21.59134118623208
7-154,1,1,1,1,0,0,12,8.505795475177916
7-145,0,0,0,1,0,0,12,42.89932714975016
7-208,1,0,0,1,1,0,12,35.77212966613958
